"Taxa"	"marshmallow24"	"marshmallow37"	"marshmallow41"	"marshmallow44"	"marshmallow49"	"marshmallow53"	"marshmallow60"	"marshmallow70"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales"	0.604571428571429	0.543571428571429	0.436285714285714	0.412142857142857	0.380428571428571	0.872285714285714	0.146714285714286	0.582142857142857
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales"	0.054	0.132	0.252571428571429	0.100285714285714	0.0592857142857143	0.021	0.110714285714286	0.320857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales"	0.201142857142857	0.049	0.0585714285714286	0.124857142857143	0.0922857142857143	0.0524285714285714	0.121428571428571	0.0462857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales"	0.0262857142857143	0.0584285714285714	0.0432857142857143	0.142285714285714	0.137142857142857	0.0165714285714286	0.0842857142857143	0.00242857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales"	0.0284285714285714	0.0388571428571429	0.0347142857142857	0.136571428571429	0.164571428571429	0.0161428571428571	0.0704285714285714	0.00242857142857143
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales"	0	0.008	0.0272857142857143	0.00614285714285714	0.0425714285714286	0.000142857142857143	0.381714285714286	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales"	0.083	0.0457142857142857	0.0418571428571429	0.0637142857142857	0.104857142857143	0.0201428571428571	0.0757142857142857	0.00828571428571429
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales"	0.000714285714285714	0.0291428571428571	0.0617142857142857	0.011	0.00957142857142857	0.000857142857142857	0.00842857142857143	0.0277142857142857
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales"	0	0.0905714285714286	0.0405714285714286	0	0	0	0	0.00742857142857143
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales"	0.001	0.00371428571428571	0.00271428571428571	0.00271428571428571	0.00828571428571429	0.000428571428571429	0.000285714285714286	0.00214285714285714
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales"	0.000571428571428571	0.000285714285714286	0	0.000142857142857143	0.000285714285714286	0	0.000142857142857143	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales"	0	0	0	0	0.000428571428571429	0	0.000142857142857143	0
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales"	0	0.000428571428571429	0	0	0	0	0	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales"	0	0	0	0.000142857142857143	0	0	0	0.000142857142857143
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales"	0	0	0.000142857142857143	0	0.000142857142857143	0	0	0
"k__Bacteria|p__Tenericutes|c__Mollicutes|o__Anaeroplasmatales"	0	0	0.000285714285714286	0	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales"	0	0	0	0	0.000142857142857143	0	0	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales"	0	0.000142857142857143	0	0	0	0	0	0
"k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales"	0	0.000142857142857143	0	0	0	0	0	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales"	0.000142857142857143	0	0	0	0	0	0	0
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales"	0.000142857142857143	0	0	0	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales"	0	0	0	0	0	0	0	0.000142857142857143
