"","ophelia19","ophelia37","ophelia43","ophelia45","ophelia48","ophelia49","ophelia55","ophelia57","ophelia59"
"ophelia19",0,0.356862411087278,0.289230819424465,0.315131143252356,0.348547440587052,0.35424632742308,0.32980917637925,0.233644133216551,0.35534203893305
"ophelia37",0.356862411087278,0,0.243959759782327,0.302965461945529,0.313839108185629,0.29444106247512,0.254226434645419,0.33151660219514,0.304141456992059
"ophelia43",0.289230819424465,0.243959759782327,0,0.334281390743148,0.321214144193026,0.285883577902958,0.239675184000085,0.310289173537619,0.329338109869308
"ophelia45",0.315131143252356,0.302965461945529,0.334281390743148,0,0.239032440622086,0.248654353633292,0.225579077927119,0.235659398535825,0.26941595340492
"ophelia48",0.348547440587052,0.313839108185629,0.321214144193026,0.239032440622086,0,0.21631470367299,0.198780287239902,0.272424822080463,0.243057931453178
"ophelia49",0.35424632742308,0.29444106247512,0.285883577902958,0.248654353633292,0.21631470367299,0,0.22656521691754,0.284695349773174,0.243628695429505
"ophelia55",0.32980917637925,0.254226434645419,0.239675184000085,0.225579077927119,0.198780287239902,0.22656521691754,0,0.29558138043262,0.236032902550181
"ophelia57",0.233644133216551,0.33151660219514,0.310289173537619,0.235659398535825,0.272424822080463,0.284695349773174,0.29558138043262,0,0.326191591880524
"ophelia59",0.35534203893305,0.304141456992059,0.329338109869308,0.26941595340492,0.243057931453178,0.243628695429505,0.236032902550181,0.326191591880524,0
