"Taxa"	"ophelia19"	"ophelia37"	"ophelia43"	"ophelia45"	"ophelia48"	"ophelia49"	"ophelia55"	"ophelia57"	"ophelia59"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales"	0.262857142857143	0.115285714285714	0.131571428571429	0.166857142857143	0.414714285714286	0.426571428571429	0.154857142857143	0.471428571428571	0.295142857142857
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales"	0.00114285714285714	0.637428571428571	0.127571428571429	0.122571428571429	0.0461428571428571	0.0587142857142857	0.277714285714286	0.0224285714285714	0.337428571428571
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales"	0.306571428571429	0.0941428571428571	0.190714285714286	0.142857142857143	0.231285714285714	0.238714285714286	0.172857142857143	0.108714285714286	0.128285714285714
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales"	0.193857142857143	0.0545714285714286	0.251857142857143	0.309428571428571	0.0852857142857143	0.0554285714285714	0.181428571428571	0.156714285714286	0.0517142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales"	0.102142857142857	0.0668571428571429	0.217285714285714	0.168285714285714	0.134142857142857	0.144	0.144	0.132428571428571	0.0862857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales"	0.0845714285714286	0.0165714285714286	0.0384285714285714	0.0404285714285714	0.0402857142857143	0.04	0.0232857142857143	0.053	0.0688571428571429
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales"	0.0247142857142857	0.004	0.0172857142857143	0.0224285714285714	0.0137142857142857	0.0192857142857143	0.0124285714285714	0.0228571428571429	0.0151428571428571
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales"	0.00871428571428571	0.00357142857142857	0.0135714285714286	0.0131428571428571	0.00928571428571429	0.011	0.011	0.00942857142857143	0.00528571428571429
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales"	0.01	0.00242857142857143	0.00114285714285714	0.00342857142857143	0.0154285714285714	0.00428571428571429	0.0157142857142857	0.0161428571428571	0.00971428571428571
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales"	0	0.00342857142857143	0.00685714285714286	0.005	0.00657142857142857	0.000714285714285714	0.00585714285714286	0.00185714285714286	0.000142857142857143
"k__Bacteria|p__Tenericutes|c__Mollicutes|o__Anaeroplasmatales"	0.00242857142857143	0.00142857142857143	0.00342857142857143	0.003	0.00185714285714286	0.000428571428571429	0.000285714285714286	0.00285714285714286	0.00142857142857143
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales"	0.00157142857142857	0	0.000142857142857143	0.00114285714285714	0.000285714285714286	0.000142857142857143	0.000285714285714286	0.000571428571428571	0.000428571428571429
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales"	0	0	0	0.000714285714285714	0.000428571428571429	0.000142857142857143	0	0.000571428571428571	0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales"	0.000428571428571429	0	0.000142857142857143	0	0.000285714285714286	0.000285714285714286	0	0	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales"	0.000285714285714286	0	0	0.000142857142857143	0.000142857142857143	0	0	0.000285714285714286	0.000142857142857143
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales"	0.000428571428571429	0	0	0.000142857142857143	0.000142857142857143	0.000142857142857143	0	0.000142857142857143	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales"	0	0.000142857142857143	0	0.000142857142857143	0	0	0.000285714285714286	0	0
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales"	0.000142857142857143	0	0	0.000285714285714286	0	0	0	0.000142857142857143	0
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales"	0.000142857142857143	0	0	0	0	0	0	0.000142857142857143	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales"	0	0.000142857142857143	0	0	0	0	0	0	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales"	0	0	0	0	0	0	0	0.000142857142857143	0
"k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales"	0	0	0	0	0	0.000142857142857143	0	0	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales"	0	0	0	0	0	0	0	0.000142857142857143	0
