"Taxa"	"iris16"	"iris17"	"iris22"	"iris36"	"iris44"	"iris46"	"iris59"	"iris60"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales"	0.340857142857143	0.232285714285714	0.183714285714286	0.294142857142857	0.298142857142857	0.355571428571429	0.278714285714286	0.496714285714286
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales"	0.265571428571429	0.231285714285714	0.428714285714286	0.0694285714285714	0.274857142857143	0.184285714285714	0.100857142857143	0.0442857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales"	0.0798571428571429	0.219142857142857	0.114142857142857	0.0161428571428571	0.115714285714286	0.163571428571429	0.238571428571429	0.178571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales"	0.149571428571429	0.149857142857143	0.0714285714285714	0.0182857142857143	0.133285714285714	0.111571428571429	0.184857142857143	0.160142857142857
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales"	0.0991428571428571	0.146571428571429	0.176857142857143	0.0238571428571429	0.109428571428571	0.106857142857143	0.149857142857143	0.0825714285714286
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales"	0.0175714285714286	0.00771428571428571	0.00528571428571429	0.329428571428571	0.0231428571428571	0.0204285714285714	0.0302857142857143	0.0227142857142857
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales"	0.0214285714285714	0	0	0.134142857142857	0	0	0	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales"	0.00628571428571429	0.000428571428571429	0.00242857142857143	0.0895714285714286	0.00657142857142857	0.00128571428571429	0.00385714285714286	0.00271428571428571
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales"	0.013	0.00271428571428571	0.0122857142857143	0.0184285714285714	0.0284285714285714	0.0178571428571429	0.00471428571428571	0.00257142857142857
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales"	0.00557142857142857	0.00914285714285714	0.00485714285714286	0.00157142857142857	0.00642857142857143	0.00714285714285714	0.00742857142857143	0.00642857142857143
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales"	0	0.000142857142857143	0	0.000142857142857143	0.000285714285714286	0.0302857142857143	0	0.00185714285714286
"k__Bacteria|p__Tenericutes|c__Mollicutes|o__Anaeroplasmatales"	0.000142857142857143	0.000142857142857143	0	0.00328571428571429	0.00314285714285714	0.000571428571428571	0.000571428571428571	0.000857142857142857
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales"	0	0	0	0.00114285714285714	0.000142857142857143	0.000428571428571429	0.000285714285714286	0.000285714285714286
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales"	0.000428571428571429	0.000428571428571429	0	0	0.000285714285714286	0	0	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales"	0.000428571428571429	0	0	0	0	0	0	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales"	0	0	0	0.000142857142857143	0.000142857142857143	0.000142857142857143	0	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales"	0.000142857142857143	0	0	0	0	0	0	0.000142857142857143
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales"	0	0	0	0.000285714285714286	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales"	0	0	0.000285714285714286	0	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales"	0	0.000142857142857143	0	0	0	0	0	0.000142857142857143
