"","lambchop17","lambchop18","lambchop25","lambchop37","lambchop44","lambchop46","lambchop48","lambchop50","lambchop55","lambchop70"
"lambchop17",0,0.784096047586297,0.737432988495442,0.942381856606368,0.887056486161236,0.859235701490842,0.945142948621957,0.879363887568311,0.839697058332967,0.919286888607905
"lambchop18",0.784096047586297,0,0.83907602129572,0.921806077381506,0.868424475194664,0.846214935819494,0.869735371819067,0.83829707410639,0.893472410942144,0.937036414875937
"lambchop25",0.737432988495442,0.83907602129572,0,0.902824187833824,0.821363103942046,0.828636236795002,0.892119729231642,0.803462411797621,0.798687491942627,0.877422674756385
"lambchop37",0.942381856606368,0.921806077381506,0.902824187833824,0,0.779456755785684,0.834124310071531,0.553979405421572,0.827757817080106,0.852177883399642,0.814633677414933
"lambchop44",0.887056486161236,0.868424475194664,0.821363103942046,0.779456755785684,0,0.570534915845422,0.797015029331275,0.639048111935221,0.692173599821374,0.784945718684071
"lambchop46",0.859235701490842,0.846214935819494,0.828636236795002,0.834124310071531,0.570534915845422,0,0.803582573975839,0.549819180321991,0.623545230278647,0.766005657546007
"lambchop48",0.945142948621957,0.869735371819067,0.892119729231642,0.553979405421572,0.797015029331275,0.803582573975839,0,0.805575315148237,0.845198509878249,0.849321749971918
"lambchop50",0.879363887568311,0.83829707410639,0.803462411797621,0.827757817080106,0.639048111935221,0.549819180321991,0.805575315148237,0,0.686262011399724,0.81678175074388
"lambchop55",0.839697058332967,0.893472410942144,0.798687491942627,0.852177883399642,0.692173599821374,0.623545230278647,0.845198509878249,0.686262011399724,0,0.734856751537548
"lambchop70",0.919286888607905,0.937036414875937,0.877422674756385,0.814633677414933,0.784945718684071,0.766005657546007,0.849321749971918,0.81678175074388,0.734856751537548,0
